title,date,media,location,url,image_urls,dimensions,scraped_at
Sarah Homes Tappan,1814,,,https://www.wikiart.org/pt/gilbert-stuart/sarah-homes-tappan-1814,https://uploads0.wikiart.org/images/gilbert-stuart/sarah-homes-tappan-1814.jpg!Large.jpg,,01 January 2025
Samuel Alleyne Otis,1813,,,https://www.wikiart.org/pt/gilbert-stuart/samuel-alleyne-otis-1813,https://uploads1.wikiart.org/images/gilbert-stuart/samuel-alleyne-otis-1813.jpg!Large.jpg,,01 January 2025
Samuel Salisbury,1811,,,https://www.wikiart.org/pt/gilbert-stuart/samuel-salisbury-1811,https://uploads6.wikiart.org/images/gilbert-stuart/samuel-salisbury-1811.jpg,,01 January 2025
Elizabeth Tuckerman Salisbury,1811,,,https://www.wikiart.org/pt/gilbert-stuart/elizabeth-tuckerman-salisbury-1811,https://uploads1.wikiart.org/images/gilbert-stuart/elizabeth-tuckerman-salisbury-1811.jpg,,01 January 2025
William Eustis,1806,,,https://www.wikiart.org/pt/gilbert-stuart/william-eustis-1806,https://uploads5.wikiart.org/images/gilbert-stuart/william-eustis-1806.jpg!Large.jpg,,01 January 2025
Washington at Dorchester Heights,1806,,,https://www.wikiart.org/pt/gilbert-stuart/washington-at-dorchester-heights-1806,https://uploads8.wikiart.org/00286/images/gilbert-stuart/washington-at-dorchester-heights-1806.jpg,,01 January 2025
Eleanor Parke Custis Lewis(Washington’s granddaughter),1804,,,https://www.wikiart.org/pt/gilbert-stuart/eleanor-parke-custis-lewis-washington-s-granddaughter-1804,https://uploads8.wikiart.org/images/gilbert-stuart/eleanor-parke-custis-lewis-washington-s-granddaughter-1804.jpg!Large.jpg,,01 January 2025
Albert Gallatin,1803,,,https://www.wikiart.org/pt/gilbert-stuart/albert-gallatin-1803,https://uploads6.wikiart.org/images/gilbert-stuart/albert-gallatin-1803.jpg!Large.jpg,,01 January 2025
Dolley Madison (Mrs. James Madison),1804,,,https://www.wikiart.org/pt/gilbert-stuart/dolley-madison-mrs-james-madison-1804,https://uploads0.wikiart.org/00286/images/gilbert-stuart/dolley-madison-mrs-james-madison-1804.jpg!Large.jpg,,01 January 2025
George Washington,1803,,,https://www.wikiart.org/pt/gilbert-stuart/george-washington-1803,https://uploads8.wikiart.org/images/gilbert-stuart/george-washington-1803.jpg!Large.jpg,,01 January 2025
