title,date,media,location,url,image_urls,dimensions,scraped_at
George Washington (Gibbs-Channing-Avery portrait),1795,"Öl, canvas",Metropolitan Museum of Art,https://www.wikiart.org/de/gilbert-stuart/george-washington-1975,https://uploads8.wikiart.org/images/gilbert-stuart/george-washington-1975.jpg!Large.jpg,,23 April 2025
William Eustis,1806,,,https://www.wikiart.org/de/gilbert-stuart/william-eustis-1806,https://uploads5.wikiart.org/images/gilbert-stuart/william-eustis-1806.jpg!Large.jpg,,23 April 2025
Josef de Jaudenes y Nebot,1794,,,https://www.wikiart.org/de/gilbert-stuart/josef-de-jaudenes-y-nebot-1794,https://uploads7.wikiart.org/images/gilbert-stuart/josef-de-jaudenes-y-nebot-1794.jpg!Large.jpg,,23 April 2025
Matthew Clarkson,1794,,,https://www.wikiart.org/de/gilbert-stuart/matthew-clarkson-1794,https://uploads7.wikiart.org/images/gilbert-stuart/matthew-clarkson-1794.jpg!Large.jpg,,23 April 2025
Catherine Yates Pollock (Mrs. George Pollock),1794,,,https://www.wikiart.org/de/gilbert-stuart/catherine-yates-pollock-mrs-george-pollock-1794,https://uploads6.wikiart.org/images/gilbert-stuart/catherine-yates-pollock-mrs-george-pollock-1794.jpg!Large.jpg,,23 April 2025
Horatio Gates,1794,,,https://www.wikiart.org/de/gilbert-stuart/horatio-gates-1794,https://uploads4.wikiart.org/images/gilbert-stuart/horatio-gates-1794.jpg!Large.jpg,,23 April 2025
Matilda Stoughton de Jaudenes,1794,,,https://www.wikiart.org/de/gilbert-stuart/matilda-stoughton-de-jaudenes-1794,https://uploads2.wikiart.org/images/gilbert-stuart/matilda-stoughton-de-jaudenes-1794.jpg!Large.jpg,,23 April 2025
Dr. William Hartigan,1793,,,https://www.wikiart.org/de/gilbert-stuart/dr-william-hartigan-1793,https://uploads1.wikiart.org/images/gilbert-stuart/dr-william-hartigan-1793.jpg!Large.jpg,,23 April 2025
John Shaw,1793,,,https://www.wikiart.org/de/gilbert-stuart/john-shaw-1793,https://uploads0.wikiart.org/images/gilbert-stuart/john-shaw-1793.jpg!Large.jpg,,23 April 2025
Sarah Siddons (née Kemble),1787,,,https://www.wikiart.org/de/gilbert-stuart/sarah-siddons-n-e-kemble-1787,https://uploads6.wikiart.org/images/gilbert-stuart/sarah-siddons-n-e-kemble-1787.jpg!Large.jpg,,23 April 2025
Luke White,1787,,,https://www.wikiart.org/de/gilbert-stuart/luke-white-1787,https://uploads1.wikiart.org/images/gilbert-stuart/luke-white-1787.jpg!Large.jpg,,23 April 2025
Portrait of the Artist,1786,,,https://www.wikiart.org/de/gilbert-stuart/portrait-of-the-artist-1786,https://uploads4.wikiart.org/images/gilbert-stuart/portrait-of-the-artist-1786.jpg!Large.jpg,,23 April 2025
John Philip Kemble,1785,,,https://www.wikiart.org/de/gilbert-stuart/john-philip-kemble-1785,https://uploads0.wikiart.org/images/gilbert-stuart/john-philip-kemble-1785.jpg!Large.jpg,,23 April 2025
